longitude,latitude,elevation
116.397846,39.906085,46
116.396511,39.915186,45
116.392255,39.903039,49
116.403684,39.900818,61
116.398339,39.914811,48
116.409476,39.901163,62
116.40951,39.90046,46
116.401931,39.916768,55
116.404056,39.906983,59
116.408307,39.918305,63
116.409757,39.908509,58
116.400696,39.905677,62
116.39951,39.918974,51
116.401726,39.904622,59
116.409807,39.912769,50
116.401684,39.91128,60
116.390751,39.904103,62
116.408224,39.91077,60
116.394772,39.918227,55
116.396453,39.91183,52
116.392596,39.910041,46
116.403765,39.914935,47
116.393021,39.918095,55
116.391652,39.909561,49
116.403291,39.908855,47
116.400623,39.903608,61
116.407376,39.914693,54
116.394319,39.908344,62
116.399702,39.90835,62
116.401935,39.904657,50
116.40644,39.90394,49
116.393635,39.916281,65
116.391867,39.903025,47
116.407553,39.906757,48
116.40408,39.90129,45
116.398356,39.907304,57
116.395408,39.907379,54
116.394339,39.918651,59
116.395799,39.918299,46
116.391055,39.911034,50
116.39978,39.902774,50
116.40731,39.910028,63
116.393335,39.916377,64
116.409136,39.91448,55
116.406802,39.918161,60
116.399002,39.919532,53
116.404837,39.905514,62
116.393302,39.915829,59
116.402445,39.914206,60
116.391965,39.904071,62
